-1,-1;    0
377,137;  1     U
841,103;  2     T
1144,109; 3    B
1327,96;  4     T
2055,119; 5    T
2284,117; 6    T
2504,134; 7    B
272,245;  8     T
462,250;  9     T
992,236; 10    T
1132,261; 11   T
1246,237; 12   T
1456,231; 13   U
1674,183; 14   B
1893,164; 15   B
2100,242; 16   T
2488,310; 17   T
170,331; 18    T
349,349; 19    T
561,295; 20    T
0,0; 21
0,0; 22
0,0; 23
0,0; 24
0,0; 25
0,0; 26
0,0; 27
0,0; 28
0,0; 29
0,0; 30
248,411; 31    T
501,471; 32    T
687,438; 33    T
0,0; 34
0,0; 35
0,0; 36
0,0; 37
0,0; 38
0,0; 39
0,0; 40
0,0; 41
0,0; 42
127,505; 43    T
380,556; 44    T
0,0; 45
720,539; 46    U
